"snippet","data_ref","x","y","bar","bar_moment"
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM190_BerbahagiaPasanganIni/GPM190_BerbahagiaPasanganIni_ly_data.ily:49:67:68",124.797,15.289,7.0,"13/2"
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM190_BerbahagiaPasanganIni/GPM190_BerbahagiaPasanganIni_ly_data.ily:49:71:72",128.226,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM190_BerbahagiaPasanganIni/GPM190_BerbahagiaPasanganIni_ly_data.ily:49:75:76",131.971,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM190_BerbahagiaPasanganIni/GPM190_BerbahagiaPasanganIni_ly_data.ily:49:79:80",134.999,15.289,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM190_BerbahagiaPasanganIni/GPM190_BerbahagiaPasanganIni_ly_data.ily:49:85:86",139.687,15.289,8.0,"15/2"
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM190_BerbahagiaPasanganIni/GPM190_BerbahagiaPasanganIni_ly_data.ily:50:4:5",151.79,15.289,9.0,"17/2"
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM190_BerbahagiaPasanganIni/GPM190_BerbahagiaPasanganIni_ly_data.ily:50:8:9",154.717,15.289,"",""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM190_BerbahagiaPasanganIni/GPM190_BerbahagiaPasanganIni_ly_data.ily:50:12:13",157.915,15.289,"",""
"cis''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM190_BerbahagiaPasanganIni/GPM190_BerbahagiaPasanganIni_ly_data.ily:50:16:17",161.856,15.289,"",""
"d''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM190_BerbahagiaPasanganIni/GPM190_BerbahagiaPasanganIni_ly_data.ily:50:25:26",167.411,15.289,10.0,"19/2"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM190_BerbahagiaPasanganIni/GPM190_BerbahagiaPasanganIni_ly_data.ily:50:30:31",171.42,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM190_BerbahagiaPasanganIni/GPM190_BerbahagiaPasanganIni_ly_data.ily:50:34:35",174.348,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM190_BerbahagiaPasanganIni/GPM190_BerbahagiaPasanganIni_ly_data.ily:50:40:41",181.455,15.289,11.0,"21/2"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM190_BerbahagiaPasanganIni/GPM190_BerbahagiaPasanganIni_ly_data.ily:50:44:45",184.679,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM190_BerbahagiaPasanganIni/GPM190_BerbahagiaPasanganIni_ly_data.ily:50:48:49",187.775,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM190_BerbahagiaPasanganIni/GPM190_BerbahagiaPasanganIni_ly_data.ily:50:52:53",189.804,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM190_BerbahagiaPasanganIni/GPM190_BerbahagiaPasanganIni_ly_data.ily:50:57:58",195.58,15.289,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM190_BerbahagiaPasanganIni/GPM190_BerbahagiaPasanganIni_ly_data.ily:50:63:64",199.371,15.289,12.0,"23/2"
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM190_BerbahagiaPasanganIni/GPM190_BerbahagiaPasanganIni_ly_data.ily:51:4:5",211.473,15.289,13.0,"25/2"
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM190_BerbahagiaPasanganIni/GPM190_BerbahagiaPasanganIni_ly_data.ily:51:8:9",214.4,15.289,"",""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM190_BerbahagiaPasanganIni/GPM190_BerbahagiaPasanganIni_ly_data.ily:51:12:13",217.328,15.289,"",""
"cis''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM190_BerbahagiaPasanganIni/GPM190_BerbahagiaPasanganIni_ly_data.ily:51:16:17",220.255,15.289,"",""
"d''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM190_BerbahagiaPasanganIni/GPM190_BerbahagiaPasanganIni_ly_data.ily:51:25:26",224.944,15.289,14.0,"27/2"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM190_BerbahagiaPasanganIni/GPM190_BerbahagiaPasanganIni_ly_data.ily:51:30:31",228.68,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM190_BerbahagiaPasanganIni/GPM190_BerbahagiaPasanganIni_ly_data.ily:51:34:35",231.607,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM190_BerbahagiaPasanganIni/GPM190_BerbahagiaPasanganIni_ly_data.ily:51:40:41",238.714,15.289,15.0,"29/2"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM190_BerbahagiaPasanganIni/GPM190_BerbahagiaPasanganIni_ly_data.ily:51:44:45",241.641,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM190_BerbahagiaPasanganIni/GPM190_BerbahagiaPasanganIni_ly_data.ily:51:48:49",245.07,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM190_BerbahagiaPasanganIni/GPM190_BerbahagiaPasanganIni_ly_data.ily:51:52:53",249.191,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM190_BerbahagiaPasanganIni/GPM190_BerbahagiaPasanganIni_ly_data.ily:51:56:57",252.466,15.289,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM190_BerbahagiaPasanganIni/GPM190_BerbahagiaPasanganIni_ly_data.ily:51:62:63",257.155,15.289,16.0,"31/2"
"a","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM190_BerbahagiaPasanganIni/GPM190_BerbahagiaPasanganIni_ly_data.ily:56:18:19",266.552,15.289,"",""
