"snippet","data_ref","x","y","tied_data_refs"
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM194_BerjumpaLagi/GPM194_BerjumpaLagi_ly_data.ily:57:14:15",181.807,15.289,""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM194_BerjumpaLagi/GPM194_BerjumpaLagi_ly_data.ily:57:20:21",186.132,15.289,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM194_BerjumpaLagi/GPM194_BerjumpaLagi_ly_data.ily:57:24:25",188.561,15.289,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM194_BerjumpaLagi/GPM194_BerjumpaLagi_ly_data.ily:57:28:29",196.031,15.289,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM194_BerjumpaLagi/GPM194_BerjumpaLagi_ly_data.ily:57:32:33",199.204,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM194_BerjumpaLagi/GPM194_BerjumpaLagi_ly_data.ily:57:36:37",203.111,15.289,""
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM194_BerjumpaLagi/GPM194_BerjumpaLagi_ly_data.ily:58:2:3",207.368,15.289,""
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM194_BerjumpaLagi/GPM194_BerjumpaLagi_ly_data.ily:58:6:7",210.865,15.289,""
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM194_BerjumpaLagi/GPM194_BerjumpaLagi_ly_data.ily:58:10:11",216.061,15.289,""
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM194_BerjumpaLagi/GPM194_BerjumpaLagi_ly_data.ily:58:14:15",220.6,15.289,""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM194_BerjumpaLagi/GPM194_BerjumpaLagi_ly_data.ily:58:18:19",223.525,15.289,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM194_BerjumpaLagi/GPM194_BerjumpaLagi_ly_data.ily:58:24:25",229.925,15.289,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM194_BerjumpaLagi/GPM194_BerjumpaLagi_ly_data.ily:58:30:31",234.115,15.289,""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM194_BerjumpaLagi/GPM194_BerjumpaLagi_ly_data.ily:59:5:6",252.218,15.289,""
