"snippet","data_ref","x","y","bar","bar_moment"
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM166_AyoBawaPersembahanmu/GPM166_AyoBawaPersembahanmu_ly_data.ily:50:17:18",126.737,15.289,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM166_AyoBawaPersembahanmu/GPM166_AyoBawaPersembahanmu_ly_data.ily:50:21:22",130.687,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM166_AyoBawaPersembahanmu/GPM166_AyoBawaPersembahanmu_ly_data.ily:50:25:26",134.936,15.289,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM166_AyoBawaPersembahanmu/GPM166_AyoBawaPersembahanmu_ly_data.ily:50:29:30",139.423,15.289,11.0,"21/4"
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM166_AyoBawaPersembahanmu/GPM166_AyoBawaPersembahanmu_ly_data.ily:50:35:36",143.074,15.289,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM166_AyoBawaPersembahanmu/GPM166_AyoBawaPersembahanmu_ly_data.ily:50:41:42",146.452,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM166_AyoBawaPersembahanmu/GPM166_AyoBawaPersembahanmu_ly_data.ily:50:47:48",150.077,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM166_AyoBawaPersembahanmu/GPM166_AyoBawaPersembahanmu_ly_data.ily:50:53:54",154.268,15.289,12.0,"23/4"
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM166_AyoBawaPersembahanmu/GPM166_AyoBawaPersembahanmu_ly_data.ily:50:57:58",157.897,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM166_AyoBawaPersembahanmu/GPM166_AyoBawaPersembahanmu_ly_data.ily:50:63:64",163.287,15.289,13.0,"25/4"
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM166_AyoBawaPersembahanmu/GPM166_AyoBawaPersembahanmu_ly_data.ily:50:67:68",167.519,15.289,"",""
"d''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM166_AyoBawaPersembahanmu/GPM166_AyoBawaPersembahanmu_ly_data.ily:51:2:3",174.988,15.289,14.0,"27/4"
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM166_AyoBawaPersembahanmu/GPM166_AyoBawaPersembahanmu_ly_data.ily:51:7:8",178.617,15.289,"",""
