"snippet","data_ref","x","y","tied_data_refs"
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:46:30:31",117.139,12.736,""
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:46:34:35",121.473,12.736,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:46:38:39",125.102,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:46:44:45",130.493,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:46:48:49",134.122,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:47:4:5",139.951,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:47:8:9",143.132,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:47:12:13",145.981,12.736,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:47:18:19",150.172,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:47:22:23",152.601,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:47:26:27",155.919,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:47:30:31",159.74,12.736,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:47:34:35",163.016,12.736,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:47:38:39",166.445,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:47:42:43",170.727,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:47:46:47",174.301,12.736,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:47:52:53",178.492,12.736,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:47:56:57",182.121,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:48:4:5",187.95,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:48:8:9",191.132,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:48:12:13",193.98,12.736,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:48:18:19",198.171,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:48:22:23",200.6,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:48:26:27",203.918,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:48:30:31",207.74,12.736,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:48:34:35",211.015,12.736,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:48:38:39",214.444,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:48:42:43",218.727,12.736,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:48:46:47",222.301,12.736,""
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:48:52:53",226.491,12.736,""
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:48:56:57",230.12,12.736,""
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:49:4:5",237.1,12.736,""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:49:10:11",242.49,12.736,""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:49:15:16",246.119,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:49:20:21",252.869,12.736,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:49:26:27",258.26,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:49:33:34",263.809,12.736,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:49:38:39",266.238,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:50:1:2",270.734,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:50:5:6",274.095,12.736,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:50:11:12",278.286,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:50:15:16",281.988,12.736,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:50:19:20",285.617,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:50:25:26",289.246,12.736,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:50:32:33",294.637,12.736,""
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:51:4:5",304.736,12.736,""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:51:10:11",310.127,12.736,""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:51:15:16",313.756,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:51:20:21",320.506,12.736,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:51:26:27",325.896,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:51:33:34",331.446,12.736,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:51:39:40",333.875,12.736,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:52:1:2",338.371,12.736,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:52:5:6",341.732,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:52:11:12",345.922,12.736,""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:52:15:16",349.624,12.736,""
"d''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:52:20:21",353.254,12.736,""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:52:27:28",356.883,12.736,""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:52:35:36",362.273,12.736,""
