"snippet","data_ref","x","y","tied_data_refs"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:49:5:6",122.04,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:49:9:10",124.71,12.736,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:49:13:14",127.139,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:49:20:21",129.039,12.736,""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:49:26:27",130.939,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:50:1:2",139.45,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:50:5:6",141.879,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:50:9:10",144.557,12.736,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:50:13:14",147.448,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:50:20:21",150.059,12.736,""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:50:26:27",152.67,12.736,""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:50:31:32",156.329,12.736,""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:50:36:37",158.836,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:51:1:2",163.027,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:51:5:6",166.456,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:51:9:10",171.823,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:51:13:14",177.036,12.736,""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:51:17:18",180.132,12.736,""
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:52:1:2",188.643,12.736,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:52:5:6",192.208,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:52:9:10",196.67,12.736,""
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:52:13:14",199.211,12.736,""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:52:17:18",201.641,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:52:21:22",204.199,12.736,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:52:25:26",206.646,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:53:1:2",212.037,12.736,""
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:54:1:2",226.947,12.736,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:54:5:6",230.513,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:54:9:10",234.974,12.736,""
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:54:13:14",237.516,12.736,""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:54:17:18",239.945,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:54:21:22",242.503,12.736,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:54:25:26",244.95,12.736,""
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:55:1:2",250.341,12.736,""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:55:5:6",254.257,12.736,""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM034_PujiTuhan/GPM034_PujiTuhan_ly_data.ily:55:10:11",257.886,12.736,""
