"snippet","data_ref","x","y","tied_data_refs"
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:51:49:50",138.126,15.289,""
"bes'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:51:53:54",141.755,15.289,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:51:61:62",144.184,15.289,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:52:2:3",146.613,15.289,""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:52:7:8",153.924,15.289,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:52:11:12",156.892,15.289,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:52:15:16",161.012,15.289,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:52:19:20",164.202,15.289,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:52:23:24",167.324,15.289,""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:52:29:30",169.814,15.289,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:57:13:14",183.855,15.289,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:57:19:20",187.484,15.289,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:57:24:25",194.796,15.289,""
"bes'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:57:28:29",197.73,15.289,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:57:34:35",200.476,15.289,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:57:38:39",203.546,15.289,""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:57:42:43",207.257,15.289,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:57:68:69",209.686,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:57:76:77",216.997,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:57:101:102",219.426,15.289,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:58:2:3",223.308,15.289,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:58:8:9",226.937,15.289,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:58:13:14",234.248,15.289,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:58:17:18",236.677,15.289,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:58:21:22",239.106,15.289,""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:58:25:26",242.006,15.289,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:58:29:30",246.792,15.289,""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:58:55:56",250.016,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:58:63:64",257.327,15.289,""
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:58:88:89",259.756,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:59:2:3",264.065,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:59:8:9",267.694,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:59:13:14",275.005,15.289,""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:59:17:18",278.784,15.289,""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:59:21:22",282.708,15.289,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:59:25:26",286.82,15.289,""
