"snippet","data_ref","x","y","tied_data_refs"
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:51:6:7",139.396,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:51:10:11",143.745,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:51:14:15",146.174,12.736,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:51:19:20",151.669,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:51:24:25",154.603,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:51:30:31",157.032,12.736,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:52:1:2",161.223,12.736,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:53:1:2",176.134,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:53:6:7",181.683,12.736,""
"d''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:53:10:11",184.702,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:53:15:16",188.789,12.736,""
"d''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:53:19:20",191.218,12.736,""
"e''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:54:1:2",195.408,12.736,""
"e''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:54:6:7",199.29,12.736,""
"d''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:54:11:12",202.919,12.736,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:55:1:2",211.43,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:55:6:7",217.574,12.736,""
"d''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:55:10:11",221.958,12.736,""
"d''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:55:15:16",226.352,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:55:20:21",229.201,12.736,""
"e''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:56:1:2",233.391,12.736,""
"d''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:56:6:7",237.879,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:56:11:12",242.05,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:56:15:16",245.679,12.736,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:57:1:2",254.19,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM023_MariKitaMenyembahTuhan/GPM023_MariKitaMenyembahTuhan_ly_data.ily:57:6:7",259.74,12.736,""
