"snippet","data_ref","x","y","bar","bar_moment"
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM045_DiKakiMuKamiBertelut/GPM045_DiKakiMuKamiBertelut_ly_data.ily:52:1:2",140.289,12.736,10.0,"9"
"es'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM045_DiKakiMuKamiBertelut/GPM045_DiKakiMuKamiBertelut_ly_data.ily:52:6:7",148.054,12.736,"",""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM045_DiKakiMuKamiBertelut/GPM045_DiKakiMuKamiBertelut_ly_data.ily:53:1:2",152.742,12.736,11.0,"10"
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM045_DiKakiMuKamiBertelut/GPM045_DiKakiMuKamiBertelut_ly_data.ily:54:1:2",164.845,12.736,12.0,"11"
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM045_DiKakiMuKamiBertelut/GPM045_DiKakiMuKamiBertelut_ly_data.ily:54:6:7",169.571,12.736,"",""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM045_DiKakiMuKamiBertelut/GPM045_DiKakiMuKamiBertelut_ly_data.ily:54:11:12",173.572,12.736,"",""
"des''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM045_DiKakiMuKamiBertelut/GPM045_DiKakiMuKamiBertelut_ly_data.ily:54:16:17",176.796,12.736,"",""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM045_DiKakiMuKamiBertelut/GPM045_DiKakiMuKamiBertelut_ly_data.ily:55:1:2",181.485,12.736,13.0,"12"
"bes'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM045_DiKakiMuKamiBertelut/GPM045_DiKakiMuKamiBertelut_ly_data.ily:55:6:7",184.412,12.736,"",""
"as'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM045_DiKakiMuKamiBertelut/GPM045_DiKakiMuKamiBertelut_ly_data.ily:55:12:13",187.339,12.736,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM045_DiKakiMuKamiBertelut/GPM045_DiKakiMuKamiBertelut_ly_data.ily:55:19:20",190.266,12.736,"",""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM045_DiKakiMuKamiBertelut/GPM045_DiKakiMuKamiBertelut_ly_data.ily:56:1:2",194.955,12.736,14.0,"13"
