"snippet","data_ref","x","y","tied_data_refs"
"gis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:45:36:37",146.113,12.736,""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:45:44:45",149.206,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:45:51:52",152.299,12.736,""
"dis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:45:57:58",154.728,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:45:66:67",158.935,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:45:70:71",165.684,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:48:6:7",174.195,12.736,""
"cis''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:48:10:11",180.945,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:48:18:19",186.495,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:48:24:25",190.685,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:48:28:29",194.314,12.736,""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:48:35:36",205.946,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:48:41:42",212.696,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:48:46:47",218.245,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:48:52:53",222.436,12.736,""
"gis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:48:56:57",226.065,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:49:6:7",237.855,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:49:10:11",240.284,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:49:14:15",242.834,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:49:18:19",245.263,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:49:22:23",247.692,12.736,""
"gis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:49:26:27",251.321,12.736,""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:49:34:35",256.712,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:49:40:41",260.341,12.736,""
"dis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:49:49:50",272.131,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:49:55:56",277.13,12.736,""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:49:59:60",280.636,12.736,""
"gis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:49:65:66",284.458,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:49:71:72",289.705,12.736,""
"dis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:49:75:76",293.334,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:49:83:84",298.724,12.736,""
