"snippet","data_ref","x","y","bar","bar_moment"
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:78:5:6",191.257,15.289,13.0,"12"
"d''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:78:10:11",195.685,15.289,"",""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:78:15:16",198.612,15.289,"",""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:79:2:3",203.301,15.289,14.0,"13"
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:79:6:7",206.252,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:79:10:11",210.287,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:79:14:15",213.511,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:80:2:3",218.2,15.289,15.0,"14"
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:80:7:8",225.964,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:81:2:3",230.653,15.289,16.0,"15"
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:86:6:7",245.735,15.289,17.0,"16"
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:86:10:11",249.753,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:86:14:15",252.68,15.289,"",""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:87:2:3",257.369,15.289,18.0,"17"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:87:7:8",262.714,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:88:5:6",272.47,15.289,19.0,"18"
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:88:9:10",275.694,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:88:13:14",278.116,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:88:18:19",283.38,15.289,"",""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:89:2:3",287.17,15.289,20.0,"19"
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:90:5:6",301.763,15.289,21.0,"20"
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:90:9:10",304.69,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:90:13:14",308.503,15.289,"",""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:91:2:3",313.192,15.289,22.0,"21"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:91:7:8",318.537,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:92:5:6",328.293,15.289,23.0,"22"
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:92:9:10",331.329,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:92:13:14",333.776,15.289,"",""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:92:18:19",338.69,15.289,"",""
"d''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:93:2:3",342.481,15.289,24.0,"23"
"d''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:94:5:6",357.073,15.289,25.0,"24"
"d''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:94:10:11",361.339,15.289,"",""
"d''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:94:15:16",365.126,15.289,"",""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:95:2:3",369.815,15.289,26.0,"25"
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:95:6:7",375.161,15.289,"",""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:96:5:6",384.916,15.289,27.0,"26"
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM008_EngkauYangSuci/GPM008_EngkauYangSuci_ly_data.ily:96:9:10",387.969,15.289,"",""
